 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
advantage 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 0.03177407800553238 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
after 1e-101 4.180050566852008e-102 0.00934144979057113 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
against 1e-101 4.180050566852008e-102 0.017945053109662143 3.3060937288675958e-102 5.555555555555556e-102 0.04719582414237084 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 5.211982282207544e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 0.10804246532139493 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.7160554322789208e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
age 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 1.4754416237401396e-81 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 0.032105941424210874 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.887530267678223e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
ah 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 3.5304861340706318e-65 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 1.528637193940096e-47 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 0.034068651909454004 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
aid 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.0806655040040355e-102 0.013866269168659812 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
air 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.1755574300262587e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 3.0157417985052685e-102 3.1774078005532378e-102 3.0942092632663493e-102 0.049411387690885086 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
alack 1e-101 4.180050566852008e-102 0.00934144979057113 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
alas 1e-101 4.180050566852008e-102 0.00934144979057113 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 6.666667097149023e-102 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
alien 1e-101 4.180050566852008e-102 9.34144979057113e-103 3.3060937288675958e-102 5.555555555555556e-102 4.719582414237084e-102 1.3698565510482368e-102 7.798291939620278e-102 9.318352524181483e-102 3.983728737109567e-102 5.0451363706184e-102 7.175508254087763e-102 3.489945862415855e-102 5.555543645182206e-102 4.175091683110711e-102 3.124796053877216e-102 1.1103602311221334e-101 5.7252803294998615e-102 1.2744549396689922e-101 7.864949416566611e-102 7.853864677479212e-102 4.918039236792206e-102 4.251397098270698e-102 3.018773366149374e-102 3.5496996557388337e-102 2.873866623218365e-102 1.1111111111111112e-101 4.487196200838508e-102 4.347826086956522e-102 5.89778949336741e-102 6.047641050836516e-102 9.125531455107728e-102 1.1111111111111112e-101 2.777777777777778e-102 1.2195580376223244e-102 1.7857142857142858e-102 6.25e-102 9.090909090909092e-102 1.3866269168536708e-102 3.444768724018509e-102 6.666666666666667e-102 4.317764459757555e-102 5.000000000014645e-102 6.647549542596631e-102 3.2105941424210877e-102 5.080665503984379e-102 1.3866269168659813e-102 0.06666667097149023 1e-101 5.2725193730566525e-102 9.090909090909092e-102 1.1111111111111112e-101 5.7631881735784445e-102 2.3928076488476113e-102 5.19688204724273e-102 1.25e-101 4.1629976992046305e-102 5.537090846027563e-102 2.857142857142857e-102 7.0387907385898944e-102 1.6007231753343023e-101 1.4062282072186003e-101 1.7543859649122808e-102 2.6927995895746152e-102 3.3299120331325577e-101 4.165661896132334e-102 5.555555555555556e-102 5.574834987372074e-102 7.692307692307693e-102 1.20022294254461e-102 2.9660297611204484e-102 3.1774078005532378e-102 3.0942092632663493e-102 4.941138769088509e-102 3.5714285714286663e-102 3.587667774341064e-102 3.7319431981615e-102 9.388696323580172e-102 2.436982168536213e-102 1.1086688151327385e-101 3.4480275393343764e-102 4.761904761904762e-102 2.693678577584537e-102 7.69253431789292e-102 1.7034325954727004e-102 1.6666666666647522e-101 4.100558217576087e-102 1.4329012216718985e-101 9.090909090909092e-102 4.088443570721575e-102 4.9204644144697294e-102 8.333333333333334e-102 1.2544647568134076e-101 5.903196489519393e-102 7.213929677431248e-102 5.8818526960695845e-102 3.129264828349032e-102 5.682400657329182e-102 1.6666666666666668e-101 5.882352941175649e-102
